Symbol,Date,Open,High,Low,Close,Volume
XSP.IDX,18-08-2014,195.84,197.2,195.84,197.17,0
XSP.IDX,19-08-2014,197.27,198.26,197.27,198.16,0
XSP.IDX,20-08-2014,198.05,198.86,197.77,198.65,0
XSP.IDX,21-08-2014,198.68,199.48,198.68,199.24,0
XSP.IDX,22-08-2014,199.26,199.35,198.48,198.84,0
XSP.IDX,25-08-2014,199.17,200.2,199.17,199.79,0
XSP.IDX,26-08-2014,199.86,200.5,199.86,200,0
XSP.IDX,27-08-2014,200.05,200.21,199.62,200.01,0
XSP.IDX,28-08-2014,199.74,199.86,199.05,199.67,0
XSP.IDX,29-08-2014,199.85,200.34,199.47,200.34,0
XSP.IDX,01-09-2014,200.34,200.34,200.34,200.34,0
XSP.IDX,02-09-2014,200.41,200.61,199.49,200.23,0
XSP.IDX,03-09-2014,200.36,200.93,199.81,200.07,0
XSP.IDX,04-09-2014,200.17,201.12,199.25,199.77,0
XSP.IDX,05-09-2014,199.8,200.77,199.01,200.77,0
XSP.IDX,08-09-2014,200.72,200.72,199.56,200.15,0
XSP.IDX,09-09-2014,200.07,200.1,198.46,198.84,0
XSP.IDX,10-09-2014,198.84,199.67,198.3,199.57,0
XSP.IDX,11-09-2014,199.29,199.77,198.59,199.75,0
XSP.IDX,12-09-2014,199.67,199.67,198.03,198.55,0
XSP.IDX,15-09-2014,198.6,198.72,197.85,198.41,0
XSP.IDX,16-09-2014,198.19,200.23,197.98,199.9,0
XSP.IDX,17-09-2014,199.93,201.07,199.33,200.16,0
XSP.IDX,18-09-2014,200.31,201.23,200.31,201.14,0
XSP.IDX,19-09-2014,201.27,201.93,200.66,201.04,0
XSP.IDX,22-09-2014,200.91,200.91,199.1,199.43,0
XSP.IDX,23-09-2014,199.28,199.53,198.28,198.28,0
XSP.IDX,24-09-2014,198.33,199.98,197.91,199.83,0
XSP.IDX,25-09-2014,199.73,199.73,196.6,196.6,0
XSP.IDX,26-09-2014,196.62,198.64,196.62,198.29,0
XSP.IDX,29-09-2014,197.9,198.13,196.43,197.78,0
XSP.IDX,30-09-2014,197.82,198.52,196.9,197.23,0
XSP.IDX,01-10-2014,197.14,197.14,194.17,194.62,0
XSP.IDX,02-10-2014,194.58,195.23,192.64,194.62,0
XSP.IDX,03-10-2014,194.81,197.12,194.81,196.79,0
XSP.IDX,06-10-2014,197,197.78,195.84,196.48,0
XSP.IDX,07-10-2014,196.24,196.24,193.49,193.51,0
XSP.IDX,08-10-2014,193.56,197.04,192.53,196.89,0
XSP.IDX,09-10-2014,196.77,196.77,192.76,192.82,0
XSP.IDX,10-10-2014,192.56,193.68,190.61,190.61,0
XSP.IDX,13-10-2014,190.57,191.21,187.41,187.47,0
XSP.IDX,14-10-2014,187.71,189.87,187.18,187.77,0
XSP.IDX,15-10-2014,187.42,187.42,182.16,186.25,0
XSP.IDX,16-10-2014,185.6,187.6,183.5,186.28,0
XSP.IDX,17-10-2014,186.49,189.82,186.49,188.68,0
XSP.IDX,20-10-2014,188.56,190.5,188.23,190.4,0
XSP.IDX,21-10-2014,190.94,194.25,190.94,194.13,0
XSP.IDX,22-10-2014,194.13,194.93,192.68,192.71,0
XSP.IDX,23-10-2014,193.1,196.2,193.1,195.08,0
XSP.IDX,24-10-2014,195.16,196.53,194.63,196.46,0
XSP.IDX,27-10-2014,196.3,196.46,195.15,196.16,0
XSP.IDX,28-10-2014,196.41,198.51,196.41,198.51,0
XSP.IDX,29-10-2014,198.33,199.14,196.9,198.23,0
XSP.IDX,30-10-2014,197.95,199.94,197.48,199.47,0
XSP.IDX,31-10-2014,200.12,201.82,200.12,201.81,0
XSP.IDX,03-11-2014,201.82,202.45,201.37,201.78,0
XSP.IDX,04-11-2014,201.58,201.59,200.1,201.21,0
XSP.IDX,05-11-2014,201.53,202.38,201.49,202.36,0
XSP.IDX,06-11-2014,202.33,203.16,201.7,203.12,0
XSP.IDX,07-11-2014,203.24,203.43,202.54,203.19,0
XSP.IDX,10-11-2014,203.2,203.87,203.02,203.83,0
XSP.IDX,11-11-2014,203.82,204.13,203.53,203.97,0
